CODICE_CATASTALE;COMUNE;NUMERO;DATA_REGOLAMENTO;DATA_PUBBLICAZIONE;PR;REGIONE;FILE_REGOLAMENTO;FILE_DELIBERA;NOTE
G990;PRATA DI PRINCIPATO ULTRA;11;23/05/2023;01/06/2023;AV;Campania;171503_CIMUNIC-04av23g990d.pdf;171503_CIMUNIC-04av23g990dAM.pdf;""
I357;SANTO STEFANO DEL SOLE;8;11/05/2023;31/07/2023;AV;Campania;172911_CIMUNIC-04av23i357d.pdf;172911_CIMUNIC-04av23i357dAM.pdf;""
I630;SERINO;11;02/05/2023;07/06/2023;AV;Campania;171094_CIMUNIC-04av23i630d.pdf;171094_CIMUNIC-04av23i630dAM.pdf;""
D650;FOIANO DI VAL FORTORE;36;23/12/2022;11/01/2023;BN;Campania;165860_CIMUNIC-04bn23d650d.pdf;165860_CIMUNIC-04bn23d650dAM.pdf;""
G318;PAOLISI;3;13/02/2023;27/02/2023;BN;Campania;167293_CIMUNIC-04bn23g318d.pdf;167293_CIMUNIC-04bn23g318dAM.pdf;""
I197;SANT'AGATA DE' GOTI;26;20/10/2020;17/10/2023;BN;Campania;176562_CIMUNIC-04bn23i197d.pdf;176562_CIMUNIC-04bn23i197dAM.pdf;"COMUNE CON DELIBERA DI DISSESTO"
C178;CASTELLO DEL MATESE;10;30/05/2023;30/10/2023;CE;Campania;176754_CIMUNIC-04ce23c178d.pdf;176754_CIMUNIC-04ce23c178dAM.pdf;""
C561;CESA;16;21/04/2023;31/01/2024;CE;Campania;180600_CIMUNIC-04ce23c561d.pdf;180600_CIMUNIC-04ce23c561dAM.pdf;""
D884;GALLO MATESE;8;27/05/2023;19/09/2023;CE;Campania;174906_CIMUNIC-04ce23d884d.pdf;174906_CIMUNIC-04ce23d884dAM.pdf;""
I130;SAN POTITO SANNITICO;6;30/03/2023;12/07/2023;CE;Campania;172271_CIMUNIC-04ce23i130d.pdf;172271_CIMUNIC-04ce23i130dAM.pdf;""
I993;SUCCIVO;11;20/04/2023;15/05/2023;CE;Campania;170398_CIMUNIC-04ce23i993d.pdf;170398_CIMUNIC-04ce23i993dAM.pdf;""
M289;MASSA DI SOMMA;27;27/09/2023;09/10/2023;NA;Campania;175876_CIMUNIC-04na23m289d.pdf;175876_CIMUNIC-04na23m289dAM.pdf;""
G670;PIMONTE;16;02/05/2023;12/06/2023;NA;Campania;172023_CIMUNIC-04na23g670d.pdf;172023_CIMUNIC-04na23g670dAM.pdf;""
G964;POZZUOLI;65;30/05/2023;21/07/2023;NA;Campania;173325_CIMUNIC-04na23g964d.pdf;173325_CIMUNIC-04na23g964dAM.pdf;""
C940;CONCA DEI MARINI;15;31/05/2023;13/06/2023;SA;Campania;172004_CIMUNIC-04sa23c940d.pdf;172004_CIMUNIC-04sa23c940dAM.pdf;""
E839;MAIORI;7;11/04/2023;04/10/2023;SA;Campania;175703_CIMUNIC-04sa23e839d.pdf;175703_CIMUNIC-04sa23e839dAM.pdf;""
F625;MONTESANO SULLA MARCELLANA;4;26/05/2023;08/06/2023;SA;Campania;171867_CIMUNIC-04sa23f625d.pdf;171867_CIMUNIC-04sa23f625dAM.pdf;""
G426;PELLEZZANO;5;02/03/2023;02/11/2023;SA;Campania;177013_CIMUNIC-04sa23g426d.pdf;177013_CIMUNIC-04sa23g426dAM.pdf;""
G939;POSTIGLIONE;6;27/04/2023;30/10/2023;SA;Campania;176636_CIMUNIC-04sa23g939d.pdf;176636_CIMUNIC-04sa23g939dAM.pdf;""
G976;PRAIANO;13;28/04/2023;01/06/2023;SA;Campania;171468_CIMUNIC-04sa23g976d.pdf;171468_CIMUNIC-04sa23g976dAM.pdf;""
H394;ROCCADASPIDE;16;30/05/2023;06/12/2023;SA;Campania;177984_CIMUNIC-04sa23h394d.pdf;177984_CIMUNIC-04sa23h394dAM.pdf;"INEFFICACE EX ART.  1, COMMA 72, L. n. 213/2023"
H703;SALERNO;14;28/04/2023;12/10/2023;SA;Campania;;176240_CIMUNIC-04sa23h703dAM.pdf;""
I960;STIO;18;15/09/2023;16/10/2023;SA;Campania;176564_CIMUNIC-04sa23i960d.pdf;176564_CIMUNIC-04sa23i960dAM.pdf;""
D292;TEGGIANO;30;28/12/2022;23/06/2023;SA;Campania;172526_CIMUNIC-04sa23d292d.pdf;172526_CIMUNIC-04sa23d292dAM.pdf;""
B572;CAMUGNANO;13;28/04/2023;19/06/2023;BO;Emilia romagna;172346_CIMUNIC-05bo23b572d.pdf;172346_CIMUNIC-05bo23b572dAM.pdf;""
E655;LOIANO;11;28/04/2023;13/06/2023;BO;Emilia romagna;172044_CIMUNIC-05bo23e655d.pdf;172044_CIMUNIC-05bo23e655dAM.pdf;""
C574;CESENATICO;38;22/06/2023;08/08/2023;FC;Emilia romagna;173812_CIMUNIC-05fc23c574d.pdf;173812_CIMUNIC-05fc23c574dAM.pdf;""
C777;CIVITELLA DI ROMAGNA;8;16/03/2023;12/10/2023;FC;Emilia romagna;176213_CIMUNIC-05fc23c777d.pdf;176213_CIMUNIC-05fc23c777dAM.pdf;""
F097;MELDOLA;28;28/04/2023;05/06/2023;FC;Emilia romagna;171505_CIMUNIC-05fc23f097d.pdf;171505_CIMUNIC-05fc23f097dAM.pdf;""
H017;PREDAPPIO;17;27/04/2023;06/06/2023;FC;Emilia romagna;171504_CIMUNIC-05fc23h017d.pdf;171504_CIMUNIC-05fc23h017dAM.pdf;""
I310;SANTA SOFIA;13;28/02/2023;08/09/2023;FC;Emilia romagna;174330_CIMUNIC-05fc23i310d.pdf;174330_CIMUNIC-05fc23i310dAM.pdf;""
C814;CODIGORO;5;21/02/2023;21/03/2023;FE;Emilia romagna;;167912_CIMUNIC-05fe23c814dAM.pdf;""
M323;FISCAGLIA;64;30/12/2022;20/01/2023;FE;Emilia romagna;166179_CIMUNIC-05fe23m323d.pdf;166179_CIMUNIC-05fe23m323dAM.pdf;""
E905;MARANO SUL PANARO;3;25/01/2023;06/03/2023;MO;Emilia romagna;;167540_CIMUNIC-05mo23e905dAM.pdf;""
I462;SASSUOLO;10;27/03/2023;22/06/2023;MO;Emilia romagna;171446_CIMUNIC-05mo23i462d.pdf;171446_CIMUNIC-05mo23i462dAM.pdf;""
I473;SAVIGNANO SUL PANARO;002;25/01/2023;01/03/2023;MO;Emilia romagna;167177_CIMUNIC-05mo23i473d.pdf;167177_CIMUNIC-05mo23i473dAM.pdf;""
L885;VIGNOLA;032;20/03/2023;07/07/2023;MO;Emilia romagna;172945_CIMUNIC-05mo23l885d.pdf;172945_CIMUNIC-05mo23l885dAM.pdf;""
B643;CAORSO;28;24/05/2023;31/07/2023;PC;Emilia romagna;173563_CIMUNIC-05pc23b643d.pdf;173563_CIMUNIC-05pc23b643dAM.pdf;""
D673;FONTANELLATO;11;09/03/2023;20/03/2023;PR;Emilia romagna;168021_CIMUNIC-05pr23d673d.pdf;168021_CIMUNIC-05pr23d673dAM.pdf;""
A191;ALFONSINE;9;28/02/2023;04/10/2023;RA;Emilia romagna;175603_CIMUNIC-05ra23a191d.pdf;175603_CIMUNIC-05ra23a191dAM.pdf;""
A547;BAGNACAVALLO;11;07/03/2023;02/10/2023;RA;Emilia romagna;175413_CIMUNIC-05ra23a547d.pdf;175413_CIMUNIC-05ra23a547dAM.pdf;""
A551;BAGNARA DI ROMAGNA;9;02/03/2023;03/10/2023;RA;Emilia romagna;175567_CIMUNIC-05ra23a551d.pdf;175567_CIMUNIC-05ra23a551dAM.pdf;""
C963;CONSELICE;6;02/03/2023;03/10/2023;RA;Emilia romagna;175605_CIMUNIC-05ra23c963d.pdf;175605_CIMUNIC-05ra23c963dAM.pdf;""
D121;COTIGNOLA;10;06/03/2023;02/10/2023;RA;Emilia romagna;175414_CIMUNIC-05ra23d121d.pdf;175414_CIMUNIC-05ra23d121dAM.pdf;""
D829;FUSIGNANO;8;07/03/2023;03/10/2023;RA;Emilia romagna;175606_CIMUNIC-05ra23d829d.pdf;175606_CIMUNIC-05ra23d829dAM.pdf;""
E730;LUGO;11;09/03/2023;04/10/2023;RA;Emilia romagna;175650_CIMUNIC-05ra23e730d.pdf;175650_CIMUNIC-05ra23e730dAM.pdf;""
F029;MASSA LOMBARDA;9;28/02/2023;04/10/2023;RA;Emilia romagna;175575_CIMUNIC-05ra23f029d.pdf;175575_CIMUNIC-05ra23f029dAM.pdf;""
H199;RAVENNA;46;30/03/2023;27/04/2023;RA;Emilia romagna;;169507_CIMUNIC-05ra23h199dAM.pdf;""
I196;SANT'AGATA SUL SANTERNO;7;10/03/2023;03/10/2023;RA;Emilia romagna;175416_CIMUNIC-05ra23i196d.pdf;175416_CIMUNIC-05ra23i196dAM.pdf;""
C219;CASTELNOVO NE' MONTI;81;21/12/2022;21/02/2023;RE;Emilia romagna;167185_CIMUNIC-05re23c219d.pdf;167185_CIMUNIC-05re23c219dAM.pdf;""
A747;BELLARIA-IGEA MARINA;21;20/04/2023;26/06/2023;RN;Emilia romagna;172528_CIMUNIC-05rn23a747d.pdf;172528_CIMUNIC-05rn23a747dAM.pdf;""
C357;CATTOLICA;22;28/03/2023;24/05/2023;RN;Emilia romagna;170938_CIMUNIC-05rn23c357d.pdf;170938_CIMUNIC-05rn23c357dAM.pdf;""
I304;SANTARCANGELO DI ROMAGNA;14;28/03/2023;12/05/2023;RN;Emilia romagna;169863_CIMUNIC-05rn23i304d.pdf;169863_CIMUNIC-05rn23i304dAM.pdf;""
B712;CAPRIVA DEL FRIULI;5;27/04/2023;08/09/2023;GO;Friuli venezia giulia;174511_CIMUNIC-06go23b712d.pdf;174511_CIMUNIC-06go23b712dAM.pdf;""
D014;CORMONS;2;13/02/2023;16/03/2023;GO;Friuli venezia giulia;167882_CIMUNIC-06go23d014d.pdf;167882_CIMUNIC-06go23d014dAM.pdf;""
D312;DOBERDO' DEL LAGO;7;22/03/2023;30/03/2023;GO;Friuli venezia giulia;168400_CIMUNIC-06go23d312d.pdf;168400_CIMUNIC-06go23d312dAM.pdf;""
D321;DOLEGNA DEL COLLIO;5;04/04/2023;13/04/2023;GO;Friuli venezia giulia;168904_CIMUNIC-06go23d321d.pdf;168904_CIMUNIC-06go23d321dAM.pdf;""
D504;FARRA D'ISONZO;2;31/05/2023;17/07/2023;GO;Friuli venezia giulia;173204_CIMUNIC-06go23d504d.pdf;173204_CIMUNIC-06go23d504dAM.pdf;""
D645;FOGLIANO REDIPUGLIA;19;29/05/2023;06/06/2023;GO;Friuli venezia giulia;171679_CIMUNIC-06go23d645d.pdf;171679_CIMUNIC-06go23d645dAM.pdf;""
E098;GORIZIA;4;26/04/2023;10/05/2023;GO;Friuli venezia giulia;170137_CIMUNIC-06go23e098d.pdf;170137_CIMUNIC-06go23e098dAM.pdf;""
E124;GRADISCA D'ISONZO;6;13/03/2023;16/03/2023;GO;Friuli venezia giulia;167877_CIMUNIC-06go23e124d.pdf;167877_CIMUNIC-06go23e124dAM.pdf;""
E125;GRADO;15;29/03/2023;21/04/2023;GO;Friuli venezia giulia;168872_CIMUNIC-06go23e125d.pdf;168872_CIMUNIC-06go23e125dAM.pdf;""
E952;MARIANO DEL FRIULI;7;27/02/2023;07/03/2023;GO;Friuli venezia giulia;167505_CIMUNIC-06go23e952d.pdf;167505_CIMUNIC-06go23e952dAM.pdf;""
F081;MEDEA;2;30/03/2023;21/04/2023;GO;Friuli venezia giulia;168891_CIMUNIC-06go23f081d.pdf;168891_CIMUNIC-06go23f081dAM.pdf;""
F356;MONFALCONE;11;28/04/2023;17/05/2023;GO;Friuli venezia giulia;170529_CIMUNIC-06go23f356d.pdf;170529_CIMUNIC-06go23f356dAM.pdf;""
F710;MORARO;3;13/04/2023;03/10/2023;GO;Friuli venezia giulia;175538_CIMUNIC-06go23f710d.pdf;175538_CIMUNIC-06go23f710dAM.pdf;""
F767;MOSSA;2;20/04/2023;25/08/2023;GO;Friuli venezia giulia;173807_CIMUNIC-06go23f767d.pdf;173807_CIMUNIC-06go23f767dAM.pdf;""
H514;ROMANS D'ISONZO;13;19/04/2023;25/09/2023;GO;Friuli venezia giulia;175126_CIMUNIC-06go23h514d.pdf;175126_CIMUNIC-06go23h514dAM.pdf;""
H531;RONCHI DEI LEGIONARI;7;30/03/2023;05/04/2023;GO;Friuli venezia giulia;168644_CIMUNIC-06go23h531d.pdf;168644_CIMUNIC-06go23h531dAM.pdf;""
H665;SAGRADO;3;25/01/2023;28/03/2023;GO;Friuli venezia giulia;168282_CIMUNIC-06go23h665d.pdf;168282_CIMUNIC-06go23h665dAM.pdf;""
H845;SAN FLORIANO DEL COLLIO;2;13/04/2023;30/05/2023;GO;Friuli venezia giulia;171334_CIMUNIC-06go23h845d.pdf;171334_CIMUNIC-06go23h845dAM.pdf;""
H964;SAN LORENZO ISONTINO;3;06/04/2023;14/04/2023;GO;Friuli venezia giulia;168993_CIMUNIC-06go23h964d.pdf;168993_CIMUNIC-06go23h964dAM.pdf;""
I082;SAN PIER D'ISONZO;5;28/02/2023;04/10/2023;GO;Friuli venezia giulia;;175714_CIMUNIC-06go23i082dAM.pdf;""
I479;SAVOGNA D'ISONZO;2;08/03/2023;28/03/2023;GO;Friuli venezia giulia;168259_CIMUNIC-06go23i479d.pdf;168259_CIMUNIC-06go23i479dAM.pdf;""
I939;STARANZANO;9;23/03/2023;15/05/2023;GO;Friuli venezia giulia;170426_CIMUNIC-06go23i939d.pdf;170426_CIMUNIC-06go23i939dAM.pdf;""
L474;TURRIACO;6;23/01/2023;27/06/2023;GO;Friuli venezia giulia;172633_CIMUNIC-06go23l474d.pdf;172633_CIMUNIC-06go23l474dAM.pdf;""
M043;VILLESSE;6;29/03/2023;26/05/2023;GO;Friuli venezia giulia;170825_CIMUNIC-06go23m043d.pdf;170825_CIMUNIC-06go23m043dAM.pdf;""
A283;ANDREIS;2;31/03/2023;04/07/2023;PN;Friuli venezia giulia;172883_CIMUNIC-06pn23a283d.pdf;172883_CIMUNIC-06pn23a283dAM.pdf;""
A354;ARBA;3;04/04/2023;12/10/2023;PN;Friuli venezia giulia;176286_CIMUNIC-06pn23a354d.pdf;176286_CIMUNIC-06pn23a354dAM.pdf;""
A516;AVIANO;15;20/02/2023;07/03/2023;PN;Friuli venezia giulia;167614_CIMUNIC-06pn23a516d.pdf;167614_CIMUNIC-06pn23a516dAM.pdf;""
A530;AZZANO DECIMO;25;26/04/2023;08/05/2023;PN;Friuli venezia giulia;169959_CIMUNIC-06pn23a530d.pdf;169959_CIMUNIC-06pn23a530dAM.pdf;""
A640;BARCIS;7;27/02/2023;12/06/2023;PN;Friuli venezia giulia;171979_CIMUNIC-06pn23a640d.pdf;171979_CIMUNIC-06pn23a640dAM.pdf;""
B215;BRUGNERA;15;31/03/2023;11/04/2023;PN;Friuli venezia giulia;168647_CIMUNIC-06pn23b215d.pdf;168647_CIMUNIC-06pn23b215dAM.pdf;""
B247;BUDOIA;53;20/12/2022;18/05/2023;PN;Friuli venezia giulia;170635_CIMUNIC-06pn23b247d.pdf;170635_CIMUNIC-06pn23b247dAM.pdf;""
B598;CANEVA;12;21/04/2023;14/09/2023;PN;Friuli venezia giulia;174753_CIMUNIC-06pn23b598d.pdf;174753_CIMUNIC-06pn23b598dAM.pdf;""
B940;CASARSA DELLA DELIZIA;13;13/04/2023;19/06/2023;PN;Friuli venezia giulia;172350_CIMUNIC-06pn23b940d.pdf;172350_CIMUNIC-06pn23b940dAM.pdf;""
C217;CASTELNOVO DEL FRIULI;2;26/04/2023;15/09/2023;PN;Friuli venezia giulia;174784_CIMUNIC-06pn23c217d.pdf;174784_CIMUNIC-06pn23c217dAM.pdf;""
C385;CAVASSO NUOVO;15;26/04/2023;02/05/2023;PN;Friuli venezia giulia;169670_CIMUNIC-06pn23c385d.pdf;169670_CIMUNIC-06pn23c385dAM.pdf;""
C640;CHIONS;14;28/04/2023;16/05/2023;PN;Friuli venezia giulia;170391_CIMUNIC-06pn23c640d.pdf;170391_CIMUNIC-06pn23c640dAM.pdf;""
C699;CIMOLAIS;7;05/04/2023;12/06/2023;PN;Friuli venezia giulia;171935_CIMUNIC-06pn23c699d.pdf;171935_CIMUNIC-06pn23c699dAM.pdf;""
C790;CLAUT;2;11/04/2023;19/04/2023;PN;Friuli venezia giulia;169195_CIMUNIC-06pn23c790d.pdf;169195_CIMUNIC-06pn23c790dAM.pdf;""
C791;CLAUZETTO;3;16/04/2023;04/09/2023;PN;Friuli venezia giulia;174249_CIMUNIC-06pn23c791d.pdf;174249_CIMUNIC-06pn23c791dAM.pdf;""
C991;CORDENONS;13;23/03/2023;30/03/2023;PN;Friuli venezia giulia;168429_CIMUNIC-06pn23c991d.pdf;168429_CIMUNIC-06pn23c991dAM.pdf;""
C993;CORDOVADO;3;06/03/2023;25/07/2023;PN;Friuli venezia giulia;173245_CIMUNIC-06pn23c993d.pdf;173245_CIMUNIC-06pn23c993dAM.pdf;""
D426;ERTO E CASSO;2;01/03/2023;02/03/2023;PN;Friuli venezia giulia;167500_CIMUNIC-06pn23d426d.pdf;167500_CIMUNIC-06pn23d426dAM.pdf;""
D487;FANNA;8;27/04/2023;16/06/2023;PN;Friuli venezia giulia;172264_CIMUNIC-06pn23d487d.pdf;172264_CIMUNIC-06pn23d487dAM.pdf;""
D621;FIUME VENETO;5;19/01/2023;23/02/2023;PN;Friuli venezia giulia;167226_CIMUNIC-06pn23d621d.pdf;167226_CIMUNIC-06pn23d621dAM.pdf;""
D670;FONTANAFREDDA;21;28/04/2023;05/05/2023;PN;Friuli venezia giulia;169876_CIMUNIC-06pn23d670d.pdf;169876_CIMUNIC-06pn23d670dAM.pdf;""
D804;FRISANCO;6;15/04/2023;12/07/2023;PN;Friuli venezia giulia;173086_CIMUNIC-06pn23d804d.pdf;173086_CIMUNIC-06pn23d804dAM.pdf;""
E889;MANIAGO;7;16/02/2023;21/04/2023;PN;Friuli venezia giulia;168703_CIMUNIC-06pn23e889d.pdf;168703_CIMUNIC-06pn23e889dAM.pdf;""
E889;MANIAGO;7;16/02/2023;02/10/2023;PN;Friuli venezia giulia;175462_CIMUNIC-06pn23e889d.pdf;175462_CIMUNIC-06pn23e889dAM.pdf;""
F089;MEDUNO;7;27/04/2023;24/07/2023;PN;Friuli venezia giulia;173122_CIMUNIC-06pn23f089d.pdf;173122_CIMUNIC-06pn23f089dAM.pdf;""
F596;MONTEREALE VALCELLINA;2;30/03/2023;27/04/2023;PN;Friuli venezia giulia;169149_CIMUNIC-06pn23f596d.pdf;169149_CIMUNIC-06pn23f596dAM.pdf;""
F750;MORSANO AL TAGLIAMENTO;3;13/03/2023;03/04/2023;PN;Friuli venezia giulia;167931_CIMUNIC-06pn23f750d.pdf;167931_CIMUNIC-06pn23f750dAM.pdf;""
G353;PASIANO DI PORDENONE;6;30/01/2023;26/05/2023;PN;Friuli venezia giulia;171135_CIMUNIC-06pn23g353d.pdf;171135_CIMUNIC-06pn23g353dAM.pdf;""
G680;PINZANO AL TAGLIAMENTO;5;22/05/2023;30/06/2023;PN;Friuli venezia giulia;172793_CIMUNIC-06pn23g680d.pdf;172793_CIMUNIC-06pn23g680dAM.pdf;""
G780;POLCENIGO;24;27/04/2023;08/06/2023;PN;Friuli venezia giulia;171894_CIMUNIC-06pn23g780d.pdf;171894_CIMUNIC-06pn23g780dAM.pdf;""
G886;PORCIA;14;30/03/2023;12/05/2023;PN;Friuli venezia giulia;170322_CIMUNIC-06pn23g886d.pdf;170322_CIMUNIC-06pn23g886dAM.pdf;""
G888;PORDENONE;56;19/12/2022;17/01/2023;PN;Friuli venezia giulia;165811_CIMUNIC-06pn23g888d.pdf;165811_CIMUNIC-06pn23g888dAM.pdf;""
G994;PRATA DI PORDENONE;6;21/02/2023;01/03/2023;PN;Friuli venezia giulia;167439_CIMUNIC-06pn23g994d.pdf;167439_CIMUNIC-06pn23g994dAM.pdf;""
H010;PRAVISDOMINI;8;31/03/2023;27/09/2023;PN;Friuli venezia giulia;175263_CIMUNIC-06pn23h010d.pdf;175263_CIMUNIC-06pn23h010dAM.pdf;""
H609;ROVEREDO IN PIANO;4;27/02/2023;29/03/2023;PN;Friuli venezia giulia;168309_CIMUNIC-06pn23h609d.pdf;168309_CIMUNIC-06pn23h609dAM.pdf;""
H657;SACILE;19;15/05/2023;05/06/2023;PN;Friuli venezia giulia;171591_CIMUNIC-06pn23h657d.pdf;171591_CIMUNIC-06pn23h657dAM.pdf;""
H891;SAN GIORGIO DELLA RICHINVELDA;12;24/03/2023;31/03/2023;PN;Friuli venezia giulia;168373_CIMUNIC-06pn23h891d.pdf;168373_CIMUNIC-06pn23h891dAM.pdf;""
H999;SAN MARTINO AL TAGLIAMENTO;5;13/03/2023;24/03/2023;PN;Friuli venezia giulia;168189_CIMUNIC-06pn23h999d.pdf;168189_CIMUNIC-06pn23h999dAM.pdf;""
I136;SAN QUIRINO;03;25/01/2023;06/02/2023;PN;Friuli venezia giulia;166772_CIMUNIC-06pn23i136d.pdf;166772_CIMUNIC-06pn23i136dAM.pdf;""
I403;SAN VITO AL TAGLIAMENTO;3;02/03/2023;20/06/2023;PN;Friuli venezia giulia;172344_CIMUNIC-06pn23i403d.pdf;172344_CIMUNIC-06pn23i403dAM.pdf;""
I621;SEQUALS;10;21/04/2023;08/08/2023;PN;Friuli venezia giulia;173834_CIMUNIC-06pn23i621d.pdf;173834_CIMUNIC-06pn23i621dAM.pdf;""
I686;SESTO AL REGHENA;9;15/03/2023;05/06/2023;PN;Friuli venezia giulia;171466_CIMUNIC-06pn23i686d.pdf;171466_CIMUNIC-06pn23i686dAM.pdf;""
I904;SPILIMBERGO;30;18/05/2023;30/08/2023;PN;Friuli venezia giulia;174285_CIMUNIC-06pn23i904d.pdf;174285_CIMUNIC-06pn23i904dAM.pdf;""
L324;TRAMONTI DI SOPRA;5;15/04/2023;16/05/2023;PN;Friuli venezia giulia;170565_CIMUNIC-06pn23l324d.pdf;170565_CIMUNIC-06pn23l324dAM.pdf;""
L325;TRAMONTI DI SOTTO;5;22/04/2023;16/05/2023;PN;Friuli venezia giulia;170536_CIMUNIC-06pn23l325d.pdf;170536_CIMUNIC-06pn23l325dAM.pdf;""
L347;TRAVESIO;5;08/05/2023;23/05/2023;PN;Friuli venezia giulia;170711_CIMUNIC-06pn23l347d.pdf;170711_CIMUNIC-06pn23l347dAM.pdf;""
M265;VAJONT;2;31/05/2023;13/10/2023;PN;Friuli venezia giulia;176441_CIMUNIC-06pn23m265d.pdf;176441_CIMUNIC-06pn23m265dAM.pdf;""
M346;VALVASONE ARZENE;11;17/03/2023;05/05/2023;PN;Friuli venezia giulia;169916_CIMUNIC-06pn23m346d.pdf;169916_CIMUNIC-06pn23m346dAM.pdf;""
M085;VITO D'ASIO;15;31/05/2023;12/10/2023;PN;Friuli venezia giulia;176351_CIMUNIC-06pn23m085d.pdf;176351_CIMUNIC-06pn23m085dAM.pdf;""
M096;VIVARO;5;05/04/2023;20/04/2023;PN;Friuli venezia giulia;169263_CIMUNIC-06pn23m096d.pdf;169263_CIMUNIC-06pn23m096dAM.pdf;""
M190;ZOPPOLA;4;30/01/2023;06/02/2023;PN;Friuli venezia giulia;166672_CIMUNIC-06pn23m190d.pdf;166672_CIMUNIC-06pn23m190dAM.pdf;""
